,Unnamed: 0,start,end,technique,text,full_text,id,start_new,end_new,augmented_text,augmented_full_text
0,0,0,0,no technique,,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل,1358824915483435012,0.0,0.0,,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل
1,1,1,33,Exaggeration/Minimisation,ده مش معتقل ده أحسن من اللوكاندة,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر,1389927866356412416,0.0,32.0,ده مش معتقل ده أحسن من اللوكاندة,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر
2,2,37,86,Smears,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر,1389927866356412416,33.0,82.0,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر
3,3,0,0,no technique,,الرجل الذي كان من فراغ,1364082975428677632,0.0,0.0,,الرجل الذي كان من فراغ
4,4,60,72,Loaded Language,مجزرة حقيقية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,40.0,52.0,مجزرة حقيقية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها
5,5,73,111,Appeal to fear/prejudice,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,53.0,91.0,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها
6,6,79,105,Name calling/Labeling,سلطات الاحتلال الإسرائيلية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,59.0,85.0,سلطات الاحتلال الإسرائيلية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها
7,7,38,72,Slogans,الحوادث ليست بمصير بل إهمال وتقصير,انطلاق أسبوع المرور العربي تحت شعار الحوادث ليست بمصير بل إهمال وتقصير,1389360446440972289,36.0,70.0,الحوادث ليست بمصير بل إهمال وتقصير,انطلاق أسبوع المرور العربي تحت شعار الحوادث ليست بمصير بل إهمال وتقصير
8,8,26,39,Loaded Language,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة,1378256980297539584,24.0,37.0,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة
9,9,26,39,Appeal to fear/prejudice,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة,1378256980297539584,24.0,37.0,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة
10,10,1,13,Name calling/Labeling,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,0.0,12.0,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال
11,11,1,13,Loaded Language,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,0.0,12.0,مقامر ومجنون,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال
12,12,40,52,Loaded Language,هجوما حادا,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال,1399057217349881860,36.0,46.0,هجوما حادا,مقامر ومجنون الصحافة البريطانية تشن هجوما حادا على غوارديولا بعد ضياع دوري الأبطال
13,13,55,104,Appeal to fear/prejudice,أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,53.0,101.0,أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم
14,14,66,83,Loaded Language,أصنافا من الموت,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,64.0,79.0,أصنافا من الموت,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم
15,15,91,104,Exaggeration/Minimisation,تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,88.0,101.0,تلعنون أنفسكم,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم
16,16,25,34,Name calling/Labeling,للصهاينة,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم,1392790941770133507,25.0,33.0,للصهاينة,الناطق باسم كتائب القسام للصهاينة احشدوا ما شئتم فقد أعددنا لكم أصنافا من الموت ستجعلكم تلعنون أنفسكم
17,17,0,10,Loaded Language,فيديو صادم,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي,1399446833609547783,0.0,10.0,فيديو صادم,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي
18,18,38,47,Loaded Language,هجوم مرعب,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي,1399446833609547783,33.0,42.0,هجوم مرعب,فيديو صادم شرطية أميركية تنجو من هجوم مرعب شاهد سكاي
19,19,13,39,Name calling/Labeling,مغالطات وزير خارجية المغرب,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,11.0,37.0,مغالطات وزير خارجية المغرب,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية
20,20,62,84,Appeal to fear/prejudice,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,60.0,82.0,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية
21,21,62,84,Exaggeration/Minimisation,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,60.0,82.0,ستؤدي بالمملكة للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية
22,22,77,84,Loaded Language,للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,75.0,82.0,للهاوية,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية
23,23,53,62,Name calling/Labeling,للاحتلال,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية,1358747565106360320,51.0,59.0,للاحتلال,ولد السالك مغالطات وزير خارجية المغرب ومواصلة بلده للاحتلال ستؤدي بالمملكة للهاوية
24,24,20,34,Loaded Language,ليلة من الجحيم,مراسلة فرانس ليلة من الجحيم في شمال غزة والأونروا ترفض فتح المدارس للنازحين,1393173766889377795,13.0,27.0,ليلة من الجحيم,مراسلة فرانس ليلة من الجحيم في شمال غزة والأونروا ترفض فتح المدارس للنازحين
25,25,13,39,Loaded Language,لا حياد مع الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,0.0,26.0,لا حياد مع الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
26,26,24,39,Name calling/Labeling,الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,11.0,26.0,الكيان الصهيوني,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
27,27,70,82,Name calling/Labeling,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,57.0,69.0,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
28,28,70,82,Loaded Language,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,57.0,69.0,العدو المجرم,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
29,29,83,115,Repetition,المقاومة ثم المقاومة ثم المقاومة,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو,1394010173098893317,70.0,102.0,المقاومة ثم المقاومة ثم المقاومة,لا حياد مع الكيان الصهيوني الحياد يعني تسليم رقابنا لهذا العدو المجرم المقاومة ثم المقاومة ثم المقاومة وهلق شو
