,full_text,start,end,technique,text,id,start_new,end_new,augmented_text,augmented_full_text
0,سالفة حسون البزونه واسمه لمشاهدة كافة حلقات البرنامج أنقر هنا اكوفد واحد اكو فد واحد نكتة نكات نكات عراقية ضحك ترفيه العراق السومرية,0,0,no technique,,1375507850089357313,0.0,0.0,,سالفة حسون البزونه واسمه لمشاهدة كافة حلقات البرنامج أنقر هنا اكوفد واحد اكو فد واحد نكتة نكات نكات عراقية ضحك ترفيه العراق السومرية
1,د خالد البلوشي الحواجز اللغوية أحد أهم تحديات التنوع الثقافي,0,0,no technique,,1399606466428944384,0.0,0.0,,د خالد البلوشي الحواجز اللغوية أحد أهم تحديات التنوع الثقافي
2,الصين وفاة أبو الأرز الهجين شاهد سكاي,0,0,no technique,,1396496144016969729,0.0,0.0,,الصين وفاة أبو الأرز الهجين شاهد سكاي
3,تحقيق غرفة أخبار الجزيرة يتوصل إلى صور تظهر قيام الإمارات بتفكيك قاعدتها العسكرية في إريتريا ونقل منشآتها العسكرية إلى جزيرة ميون اليمنية وقاعدة سيدي براني على الحدود المصرية الليبية,0,0,no technique,,7050,0.0,0.0,,تحقيق غرفة أخبار الجزيرة يتوصل إلى صور تظهر قيام الإمارات بتفكيك قاعدتها العسكرية في إريتريا ونقل منشآتها العسكرية إلى جزيرة ميون اليمنية وقاعدة سيدي براني على الحدود المصرية الليبية
4,سبعيني نازح من مدينة البوكمال يبعث روح الجمال والفن في أخشاب ميتة,0,0,no technique,,1355571257497022464,0.0,0.0,,سبعيني نازح من مدينة البوكمال يبعث روح الجمال والفن في أخشاب ميتة
5,تابعونا عبر شاشة العربية في نشرة غرينيتش ال بتوقيت السعودية استمرار التظاهرات في الضفة و إسرائيل ترفض حلا مؤقتا في غزة السعودية و الإمارات تستدعيان سفيري لبنان على خلفية تصريحات وزير خارجية لبنان واشنطن تبحث إعادة فتح سفارتها في ليبيا,0,0,no technique,,7051,0.0,0.0,,تابعونا عبر شاشة العربية في نشرة غرينيتش ال بتوقيت السعودية استمرار التظاهرات في الضفة و إسرائيل ترفض حلا مؤقتا في غزة السعودية و الإمارات تستدعيان سفيري لبنان على خلفية تصريحات وزير خارجية لبنان واشنطن تبحث إعادة فتح سفارتها في ليبيا
6,الوصال شاعر الوطن الشاعر سالم بن علي الكلباني في ضيافة فوانيس الوصال اليوم مع الدكتور المعتصم المعمري,0,0,no technique,,1382356284566085634,0.0,0.0,,الوصال شاعر الوطن الشاعر سالم بن علي الكلباني في ضيافة فوانيس الوصال اليوم مع الدكتور المعتصم المعمري
8,سقوط تلفريك في شمال إيطاليا يسفر عن مقتل بينهم إسرائيليين,0,0,no technique,,1396736284778012674,0.0,0.0,,سقوط تلفريك في شمال إيطاليا يسفر عن مقتل بينهم إسرائيليين
9,ما هي أول عاصمة عربية ل القهوة في العالم,0,0,no technique,,1400059625441988615,0.0,0.0,,ما هي أول عاصمة عربية ل القهوة في العالم
10,يوفنتوس بطلا ل كاس ايطاليا للمرة ال بفوز صعب على اتالانتا فيديو,0,0,no technique,,1395123199009071114,0.0,0.0,,يوفنتوس بطلا ل كاس ايطاليا للمرة ال بفوز صعب على اتالانتا فيديو
11,وزارة الأوقاف الكويتية البحث عن حقيقة ماتم تداوله من وجود نسخة من القرآن الكريم داخل البلاد خالية من سورة النساء وتحديد المتسبب بذلك,0,0,no technique,,1395055968497590278,0.0,0.0,,وزارة الأوقاف الكويتية البحث عن حقيقة ماتم تداوله من وجود نسخة من القرآن الكريم داخل البلاد خالية من سورة النساء وتحديد المتسبب بذلك
