,start,end,technique,text,full_text,id,start_new,end_new
0,0,0,no technique,,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل,1358824915483435012,0.0,0.0
1,1,33,Exaggeration/Minimisation,ده مش معتقل ده أحسن من اللوكاندة,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر,1389927866356412416,0.0,32.0
2,37,86,Smears,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,ده مش معتقل ده أحسن من اللوكاندة جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون مصر,1389927866356412416,33.0,82.0
3,0,0,no technique,,الرجل الذي كان من فراغ,1364082975428677632,0.0,0.0
4,60,72,Loaded Language,مجزرة حقيقية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,40.0,52.0
5,73,111,Appeal to fear/prejudice,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,53.0,91.0
6,79,105,Name calling/Labeling,سلطات الاحتلال الإسرائيلية,عاجل حركة حماس ما يجري في المسجد الأقصى مجزرة حقيقية ستدفع سلطات الاحتلال الإسرائيلية ثمنها,1391667689656102914,59.0,85.0
7,38,72,Slogans,الحوادث ليست بمصير بل إهمال وتقصير,انطلاق أسبوع المرور العربي تحت شعار الحوادث ليست بمصير بل إهمال وتقصير,1389360446440972289,36.0,70.0
8,26,39,Loaded Language,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة,1378256980297539584,24.0,37.0
9,26,39,Appeal to fear/prejudice,الواقع المروع,مراسل بي بي سي في الصين الواقع المروع للعمل الصحفي في الصين هو الذي دفعني للمغادرة,1378256980297539584,24.0,37.0
