,full_text,start,end,technique,text,id,start_new,end_new,augmented_text,augmented_full_text
0,محمد صلاح والحذاء الذهبي كيف أضاع مو لقب الهدافين في المعركة الأخيرة فيديو,0,0,no technique,,7043,0.0,0.0,,محمد صلاح والحذاء الذهبي كيف أضاع مو لقب الهدافين في المعركة الأخيرة فيديو
1,معاناة من نوع آخر سببها الأساسي هو التعافي من كورونا تعرف على معاناة الصناعيين في العالم من نقص وارتفاع أسعار المواد الأولية الأسواق العربية,0,0,no technique,,1394631362909462539,0.0,0.0,,معاناة من نوع آخر سببها الأساسي هو التعافي من كورونا تعرف على معاناة الصناعيين في العالم من نقص وارتفاع أسعار المواد الأولية الأسواق العربية
2,تحقيق غرفة أخبار الجزيرة يتوصل إلى صور تظهر قيام الإمارات بتفكيك قاعدتها العسكرية في إريتريا ونقل منشآتها العسكرية إلى جزيرة ميون اليمنية وقاعدة سيدي براني على الحدود المصرية الليبية,0,0,no technique,,7050,0.0,0.0,,تحقيق غرفة أخبار الجزيرة يتوصل إلى صور تظهر قيام الإمارات بتفكيك قاعدتها العسكرية في إريتريا ونقل منشآتها العسكرية إلى جزيرة ميون اليمنية وقاعدة سيدي براني على الحدود المصرية الليبية
3,الفنان فلاح هاشم امنيتي انتقال البلد لحالة الاستقرار السياسي,0,0,no technique,,1347045621564366848,0.0,0.0,,الفنان فلاح هاشم امنيتي انتقال البلد لحالة الاستقرار السياسي
4,هل يتفق الرئيسان ميشال عون وسعد الحريري وتتألف الحكومة بعد الاستعانة بالصديق نبيه بري,0,0,no technique,,1397618308900392963,0.0,0.0,,هل يتفق الرئيسان ميشال عون وسعد الحريري وتتألف الحكومة بعد الاستعانة بالصديق نبيه بري
5,نقاط على حروف الذاكرة الحلية,0,0,no technique,,1358472747643469825,0.0,0.0,,نقاط على حروف الذاكرة الحلية
6,تأكيد فوز فرقة مونيسكين بمسابقة يوروفيجن واختبار وجود المخدرات يبرئ المغني الإيطالي,0,0,no technique,,1397086806672220160,0.0,0.0,,تأكيد فوز فرقة مونيسكين بمسابقة يوروفيجن واختبار وجود المخدرات يبرئ المغني الإيطالي
7,نائب رئيس حركة حماس صالح العاروري الاعتداء على المسجد الأقصى سيحرق رؤوس المحتلين القدس الشيخ جراح,0,0,no technique,,1391484406536228867,0.0,0.0,,نائب رئيس حركة حماس صالح العاروري الاعتداء على المسجد الأقصى سيحرق رؤوس المحتلين القدس الشيخ جراح
8,إعادة النمور المرقطة للبرية في الأرجنتين,0,0,no technique,,1389963264830984194,0.0,0.0,,إعادة النمور المرقطة للبرية في الأرجنتين
9,لا تعتبرهم حركة إرهابية تركيا ترفض طلبا مصريا بتسليم قادة الإخوان ما التفاصيل,0,0,no technique,,1390894228440498176,0.0,0.0,,لا تعتبرهم حركة إرهابية تركيا ترفض طلبا مصريا بتسليم قادة الإخوان ما التفاصيل
10,عرض أنا برشا عندما تكفر الكتابة بالمحرمات,0,0,no technique,,986636915851087872,0.0,0.0,,عرض أنا برشا عندما تكفر الكتابة بالمحرمات
11,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول,0,0,no technique,,1384110098289594370,0.0,0.0,,الوصال ما هو معدل عمر الحوت الأحدب السؤال ل هنية الهادية فريق حواء برنامج المسابقات حواء الاولى وادم الاول
12,أبلغ من العمر سنوات فقط كلمات مؤثرة لطفلة فلسطينية تتمنى لو كانت طبيبة لتساعد شعبها,0,0,no technique,,1393831081187713026,0.0,0.0,,أبلغ من العمر سنوات فقط كلمات مؤثرة لطفلة فلسطينية تتمنى لو كانت طبيبة لتساعد شعبها
13,تطوان توقيف مقدم شرطة في قضية تتعلق بالنصب والاحتيال,0,0,no technique,,1378780855422836738,0.0,0.0,,تطوان توقيف مقدم شرطة في قضية تتعلق بالنصب والاحتيال
14,الوصال الإصلاح الاقتصادي حلقة اليوم من فوانيس الوصال مع الدكتور المعتصم المعمري وضيفه الأكاديمي والباحث الاقتصادي الدكتور محمد الوردي,0,0,no technique,,1386726467850182663,0.0,0.0,,الوصال الإصلاح الاقتصادي حلقة اليوم من فوانيس الوصال مع الدكتور المعتصم المعمري وضيفه الأكاديمي والباحث الاقتصادي الدكتور محمد الوردي
15,رغم فوائده المتعددة تحذير من تناول الزنجبيل في هذه الحالات صحة عالم السومرية,0,0,no technique,,1378980729976143876,0.0,0.0,,رغم فوائده المتعددة تحذير من تناول الزنجبيل في هذه الحالات صحة عالم السومرية
16,الوصال أين يقع متحف أرض اللبان ولاية مرباط ولاية ثمريت ولاية صلالة السؤال ل ابتهال فريق حواء برنامج المسابقات حواء الاولى وادم الاول,0,0,no technique,,1383738211160100873,0.0,0.0,,الوصال أين يقع متحف أرض اللبان ولاية مرباط ولاية ثمريت ولاية صلالة السؤال ل ابتهال فريق حواء برنامج المسابقات حواء الاولى وادم الاول
17,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية,0,0,no technique,,1325345970981318656,0.0,0.0,,قهوة الصباح قصيدة في حب الوطن نوف بنت خلفان البريكية
19,جوجل يحتفل بعيد استقلال المملكة الأردنية الهاشمية صحيفة الرأي الأردن,0,0,no technique,,1396955684885962755,0.0,0.0,,جوجل يحتفل بعيد استقلال المملكة الأردنية الهاشمية صحيفة الرأي الأردن
20,علي خيون يجوس بمبضعه أدواء المجتمع في روايته بين قلبين,0,0,no technique,,1398504900800266242,0.0,0.0,,علي خيون يجوس بمبضعه أدواء المجتمع في روايته بين قلبين
21,حال الملعب الجماعي يقلق نشطاء بأولاد النمة جهات ساعة الأشواك,0,0,no technique,,1399979107958493186,0.0,0.0,,حال الملعب الجماعي يقلق نشطاء بأولاد النمة جهات ساعة الأشواك
23,حزب الله العراقي يعتبر اعتقال القيادي في الحشد قاسم مصلح استفزازا العراق العربية,0,0,no technique,,1397932138977185795,0.0,0.0,,حزب الله العراقي يعتبر اعتقال القيادي في الحشد قاسم مصلح استفزازا العراق العربية
24,بايدن لرشيدة طليب أدعو الله أن تكون جدتك وعائلتك بخير في الضفة الغربية أعدك أن أفعل كل شيء لأرى أنهم كذلك,0,0,no technique,,1394955996523646979,0.0,0.0,,بايدن لرشيدة طليب أدعو الله أن تكون جدتك وعائلتك بخير في الضفة الغربية أعدك أن أفعل كل شيء لأرى أنهم كذلك
25,الأكثر قراءة عندما ينقل المطبخ الرمضاني إلى المطاعم تعب الصيام على الزوجة أم نسوان آخر زمن,0,0,no technique,,870555589826490368,0.0,0.0,,الأكثر قراءة عندما ينقل المطبخ الرمضاني إلى المطاعم تعب الصيام على الزوجة أم نسوان آخر زمن
26,تحت الضوء حول العدالة في بلادنا التحديات والآفاق عبر,0,0,no technique,,867122013957238786,0.0,0.0,,تحت الضوء حول العدالة في بلادنا التحديات والآفاق عبر
27,الرجل الذي كان من فراغ,0,0,no technique,,1364082975428677632,0.0,0.0,,الرجل الذي كان من فراغ
28,الصين وفاة أبو الأرز الهجين شاهد سكاي,0,0,no technique,,1396496144016969729,0.0,0.0,,الصين وفاة أبو الأرز الهجين شاهد سكاي
29,الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية,0,0,no technique,,7103,0.0,0.0,,الخارجية الروسية تستدعي سفير كولومبيا بعد تصريحات وزير دفاعها عن هجمات إلكترونية
30,طاعة الرسول ﷺ هي طاعة لله فهو مؤيد بالوحي ولا ينطق عن الهوى تأملات قرآنية,0,0,no technique,,1389702564694855682,0.0,0.0,,طاعة الرسول ﷺ هي طاعة لله فهو مؤيد بالوحي ولا ينطق عن الهوى تأملات قرآنية
33,رقصة ودية بين جنود إسرائيليين ومصريين على الحدود الفاصلة بين البلدين,0,0,no technique,,1389680149835231240,0.0,0.0,,رقصة ودية بين جنود إسرائيليين ومصريين على الحدود الفاصلة بين البلدين
34,بغداد خلاف عائلي يودي بحياة الزوج واصابة الزوجة امن العراق السومرية,0,0,no technique,,1395385026628538368,0.0,0.0,,بغداد خلاف عائلي يودي بحياة الزوج واصابة الزوجة امن العراق السومرية
35,من عمان قطافها دانية إصدار أدبي خامس بنكهة طلابية عمانية من لندن عبير بنت صالح الربيعية الأمين العام للمجلس الاستشاري الطلابي العماني بالمملكة المتحدة,0,0,no technique,,1360115708181553153,0.0,0.0,,من عمان قطافها دانية إصدار أدبي خامس بنكهة طلابية عمانية من لندن عبير بنت صالح الربيعية الأمين العام للمجلس الاستشاري الطلابي العماني بالمملكة المتحدة
36,وزارة الأوقاف الكويتية البحث عن حقيقة ماتم تداوله من وجود نسخة من القرآن الكريم داخل البلاد خالية من سورة النساء وتحديد المتسبب بذلك,0,0,no technique,,1395055968497590278,0.0,0.0,,وزارة الأوقاف الكويتية البحث عن حقيقة ماتم تداوله من وجود نسخة من القرآن الكريم داخل البلاد خالية من سورة النساء وتحديد المتسبب بذلك
37,الجيش البريطاني يكشف تفاصيل عملية سرية عطلت طائرات الدرون ل دا عش بسوريا,0,0,no technique,,1359200907850878982,0.0,0.0,,الجيش البريطاني يكشف تفاصيل عملية سرية عطلت طائرات الدرون ل دا عش بسوريا
38,القرار الأميركي بخلع الكمامات توضيح لا ينبغي تجاهله,0,0,no technique,,1393100013341863938,0.0,0.0,,القرار الأميركي بخلع الكمامات توضيح لا ينبغي تجاهله
40,خارج النص ماهي الرواية السائدة التي عارضها فيرين عن تاريخ الأندلس شاهدوا الحلقة على يوتيوب,0,0,no technique,,1389776866681114624,0.0,0.0,,خارج النص ماهي الرواية السائدة التي عارضها فيرين عن تاريخ الأندلس شاهدوا الحلقة على يوتيوب
41,الوصال شاعر الوطن الشاعر سالم بن علي الكلباني في ضيافة فوانيس الوصال اليوم مع الدكتور المعتصم المعمري,0,0,no technique,,1382356284566085634,0.0,0.0,,الوصال شاعر الوطن الشاعر سالم بن علي الكلباني في ضيافة فوانيس الوصال اليوم مع الدكتور المعتصم المعمري
43,تمزج بين النسختين البريطانية والهندية السلطات الصحية في فيتنام تكتشف نسخة جديدة متحورة لفيروس كورونا العربية,0,0,no technique,,1398982324772016129,0.0,0.0,,تمزج بين النسختين البريطانية والهندية السلطات الصحية في فيتنام تكتشف نسخة جديدة متحورة لفيروس كورونا العربية
44,هادي عمرو المبعوث الأمريكي للشؤون الفلسطينية والإسرائيلية من هو,0,0,no technique,,1393624062933471235,0.0,0.0,,هادي عمرو المبعوث الأمريكي للشؤون الفلسطينية والإسرائيلية من هو
45,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل,0,0,no technique,,1358824915483435012,0.0,0.0,,بي بي سي ترندينغ النساء تثرثر كثيرا رئيس أولمبياد طوكيو يتعرض لضغوط للاستقالة بعد تصريحه المثير للجدل
48,ما هي أول عاصمة عربية ل القهوة في العالم,0,0,no technique,,1400059625441988615,0.0,0.0,,ما هي أول عاصمة عربية ل القهوة في العالم
50,هالة صدقي تنشر صور إيمي ودنيا من جنازة سمير غانم تايهين من غير أمهم,0,0,no technique,,7042,0.0,0.0,,هالة صدقي تنشر صور إيمي ودنيا من جنازة سمير غانم تايهين من غير أمهم
52,التحالف تدمير مسيرة مفخخة أطلقتها ميليشيا الحوثي باتجاه المنطقة الجنوبية,0,0,no technique,,1398252447785697280,0.0,0.0,,التحالف تدمير مسيرة مفخخة أطلقتها ميليشيا الحوثي باتجاه المنطقة الجنوبية
55,دعوات للتظاهر في الطبقة ضد حملات التجنيد الإجباري ل ب ي د,0,0,no technique,,1395120840816140290,0.0,0.0,,دعوات للتظاهر في الطبقة ضد حملات التجنيد الإجباري ل ب ي د
60,تابعونا عبر شاشة العربية في نشرة غرينيتش ال بتوقيت السعودية استمرار التظاهرات في الضفة و إسرائيل ترفض حلا مؤقتا في غزة السعودية و الإمارات تستدعيان سفيري لبنان على خلفية تصريحات وزير خارجية لبنان واشنطن تبحث إعادة فتح سفارتها في ليبيا,0,0,no technique,,7051,0.0,0.0,,تابعونا عبر شاشة العربية في نشرة غرينيتش ال بتوقيت السعودية استمرار التظاهرات في الضفة و إسرائيل ترفض حلا مؤقتا في غزة السعودية و الإمارات تستدعيان سفيري لبنان على خلفية تصريحات وزير خارجية لبنان واشنطن تبحث إعادة فتح سفارتها في ليبيا
61,الباحث في العلاج المناعي بجامعة كارديف محمد الحاج علي الفطر الأسود موجود في التربة والخضروات قبل اكتشاف كورونا ونقص المناعة سبب رئيسي للإصابة به العربية,0,0,no technique,,1396460761896169472,0.0,0.0,,الباحث في العلاج المناعي بجامعة كارديف محمد الحاج علي الفطر الأسود موجود في التربة والخضروات قبل اكتشاف كورونا ونقص المناعة سبب رئيسي للإصابة به العربية
64,الكشف عن تطورات صحة فنانة مشهورة بعد إصابتها ب كورونا العراق السومرية,0,0,no technique,,1400139104856248323,0.0,0.0,,الكشف عن تطورات صحة فنانة مشهورة بعد إصابتها ب كورونا العراق السومرية
65,أغلى عسل في العالم يدخل موسوعة غينيس,0,0,no technique,,1374122391513796611,0.0,0.0,,أغلى عسل في العالم يدخل موسوعة غينيس
66,العرض الخاص لفيلم أنت جريح في دار الأسد للثقافة والفنون بدمشق عبر,0,0,no technique,,1372173298876944389,0.0,0.0,,العرض الخاص لفيلم أنت جريح في دار الأسد للثقافة والفنون بدمشق عبر
67,المدير الفني لنادي ليفربول ينفعل في وجه صحفي بسبب محمد صلاح,0,0,no technique,,1363161372251586561,0.0,0.0,,المدير الفني لنادي ليفربول ينفعل في وجه صحفي بسبب محمد صلاح
69,عاجل رئيس حكومة الوفاق الوطني فائز السراج اتفاقنا على حكومة وحدة وطنية هو مدخل للأمن واستقرار الدولة عين ليبيا,0,0,no technique,,1371772461839175681,0.0,0.0,,عاجل رئيس حكومة الوفاق الوطني فائز السراج اتفاقنا على حكومة وحدة وطنية هو مدخل للأمن واستقرار الدولة عين ليبيا
70,فريد الياس الخازن يوم لبناني في الفاتيكان لكنه ليس للتدخل بالسياسيات الداخلية اللبنانية,0,0,no technique,,1399354385583558661,0.0,0.0,,فريد الياس الخازن يوم لبناني في الفاتيكان لكنه ليس للتدخل بالسياسيات الداخلية اللبنانية
73,يوفنتوس بطلا ل كاس ايطاليا للمرة ال بفوز صعب على اتالانتا فيديو,0,0,no technique,,1395123199009071114,0.0,0.0,,يوفنتوس بطلا ل كاس ايطاليا للمرة ال بفوز صعب على اتالانتا فيديو
74,عين اليمن بالصور قبائل قيفة تكبد مليشيا الحوثي خسائر كبيرة في اعنف هجوم لمحاولة اجتياح يكلا اقرأ المزيد,0,0,no technique,,1292735223306870790,0.0,0.0,,عين اليمن بالصور قبائل قيفة تكبد مليشيا الحوثي خسائر كبيرة في اعنف هجوم لمحاولة اجتياح يكلا اقرأ المزيد
78,السجن عاما لضابط أميركي في القبعات الخضراء تجسس للروس,0,0,no technique,,1393392927439835137,0.0,0.0,,السجن عاما لضابط أميركي في القبعات الخضراء تجسس للروس
80,روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية,0,0,no technique,,7101,0.0,0.0,,روسيا ترحب بتمديد الاتفاق بين إيران والوكالة الدولية للطاقة الذرية
81,الجزائر ليست محمية هاديك دولة أخرى فرنسا تحسب ألف حساب للجزائر,0,0,no technique,,1366497961950269448,0.0,0.0,,الجزائر ليست محمية هاديك دولة أخرى فرنسا تحسب ألف حساب للجزائر
83,د خالد البلوشي الحواجز اللغوية أحد أهم تحديات التنوع الثقافي,0,0,no technique,,1399606466428944384,0.0,0.0,,د خالد البلوشي الحواجز اللغوية أحد أهم تحديات التنوع الثقافي
84,الوصال منذر من فريق أرض اللبان ما المانع أن يكون هناك اتحاد لرياضة المشي الجبلي,0,0,no technique,,1373965057298694148,0.0,0.0,,الوصال منذر من فريق أرض اللبان ما المانع أن يكون هناك اتحاد لرياضة المشي الجبلي
89,الوصال وزارة العمل تابعت وزارة العمل باهتمام حول تجمع عدد من المواطنين أمام مبنى المديرية العامة للعمل بمحافظة شمال الباطنة,0,0,no technique,,1396516823894462464,0.0,0.0,,الوصال وزارة العمل تابعت وزارة العمل باهتمام حول تجمع عدد من المواطنين أمام مبنى المديرية العامة للعمل بمحافظة شمال الباطنة
91,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا,0,0,no technique,,1374002150620213249,0.0,0.0,,قرادة لرئيس حكومة الوحدة الوطنية لن أخاتلك تربصا ولن أجاملك طمعا عين ليبيا
93,العاهل الأردني لبلينكن من الضروري الحفاظ على الوضع التاريخي والقانوني القائم بالقدس ومقدساتها,0,0,no technique,,7327,0.0,0.0,,العاهل الأردني لبلينكن من الضروري الحفاظ على الوضع التاريخي والقانوني القائم بالقدس ومقدساتها
