id,technique,variation_num,original_text,augmented_text,words_replaced,replacement_ratio,is_taken,need_modify,modified_text,Unnamed: 7,id_taken,Unnamed: 10
1.39e+18,Exaggeration/Minimisation,1,ده مش معتقل ده أحسن من اللوكاندة,ده مش حَبْسٌ ده أمثر من خَان,3,42.90%,1.0,1.0,ده مش حَبْسٌ ده أفضل من خَان,,,
1.39e+18,Exaggeration/Minimisation,2,ده مش معتقل ده أحسن من اللوكاندة,ده مش غَيْرُ حُرٍّ ده أنبل من مَرْكَزُ إِقَامَة,3,33.30%,1.0,1.0,ده مش حبس ده أنبل من مَرْكَزُ إِقَامَة,,,
1.39e+18,Exaggeration/Minimisation,3,ده مش معتقل ده أحسن من اللوكاندة,ده مش سِجْنٌ ده أمثل من لوكاندة,2,28.60%,1.0,0.0,ده مش سِجْنٌ ده أمثل من لوكاندة,,,
1.39e+18,Exaggeration/Minimisation,4,ده مش معتقل ده أحسن من اللوكاندة,ده مش مُرْتَبَطٌ ده أمهر من خَان,3,42.90%,1.0,1.0,ده مش سجن ده أحسن من خَان,,,
1.39e+18,Smears,1,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,جدل سِخر من زيارات تنظمها مَدَارَة داخلية تَحْفِيرَات,3,37.50%,1.0,1.0,جدل سِخر من زيارات تنظمها ادارة الداخلية للحبس,,,
1.39e+18,Smears,2,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,مراء وسخرية من زيارات رصّتها سِكْرِتَارِيَة الْمَخْفِيَّة أَسْرٌ,5,62.50%,1.0,1.0,مراء وسخرية من زيارات رصّتها سِكْرِتَارِيَة الداخلية للأسر,,,
1.39e+18,Smears,3,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,جدل استهزاز من زيارات رتّبتها مَرْكَزِيَّة داخلية حَبْسٌ,4,50.00%,1.0,1.0,جدل و استهزاز من زيارات رتّبتها مَرْكَزِيَّة الداخلية للحَبْسٌ,,,
1.39e+18,Smears,4,جدل وسخرية من زيارات تنظمها وزارة الداخلية للسجون,محاجة سُخرية من نَزْلات نظمها وزارة الْأَحْشَاء مُعتَقَلات,6,75.00%,1.0,1.0,محاجة و سُخرية من نَزْلات نظمها وزارة الداخلية للمُعتَقَلات,,,
1.39e+18,Loaded Language,1,مجزرة حقيقية,مجزرة واقعية,1,50.00%,,1.0,مجزرة حقيقية,,,
1.39e+18,Loaded Language,2,مجزرة حقيقية,مجزرة واقعيّة,1,50.00%,,1.0,مذبحة واقعيّة,,,
1.39e+18,Loaded Language,3,مجزرة حقيقية,ابادة صحيحة,2,100.00%,,0.0,ابادة صحيحة,,,
1.39e+18,Loaded Language,4,مجزرة حقيقية,ذبحة حقيّة,2,100.00%,,1.0,إبادة حقيقية,,,
1.39e+18,Appeal to fear/prejudice,1,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,سَتُنْفِقُ مُخَوَّلَات احتلال عبرية منزلتها,4,80.00%,1.0,1.0,سَتُنْفِقُ سلطات الاحتلال العبرية قيمتها,,,
1.39e+18,Appeal to fear/prejudice,2,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,تَسْدُدُ أَوْصِيَاء سيطرة صهيونية أهميتها,5,100.00%,1.0,1.0,ستَسْدُدُ إدارة الاحتلال الصهيونية ثمنها,,,
1.39e+18,Appeal to fear/prejudice,3,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,تَفُوقُ أَوْصِيَاء قهر إسرائيلية سعرها,4,80.00%,1.0,1.0,سَتُنْفِقُ سلطات الاحتلال العبرية سعرها,,,
1.39e+18,Appeal to fear/prejudice,4,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,تَفُوقُ مُتَسَلِّطُون اغتصاب حبرية رتبتها,5,100.00%,1.0,1.0,ستدفع سلطات الاحتلال الإسرائيلية سعرها,,,
1.39e+18,Appeal to fear/prejudice,5,ستدفع سلطات الاحتلال الإسرائيلية ثمنها,سَتُنْفِقُ حُكَّام اغتصاب إسرائيلية منزلتها,4,80.00%,1.0,1.0,ستَسْدُدُ إدارة الاحتلال الإسرائلية قيمتها,,,
1.39e+18,Name calling/Labeling,1,سلطات الاحتلال الإسرائيلية,سلطات استعباد إفرنجية,2,66.70%,1.0,1.0,سلطات الاحتلال العبرية,,,
1.39e+18,Name calling/Labeling,2,سلطات الاحتلال الإسرائيلية,إدارات اغتصاب سكسونية,3,100.00%,1.0,1.0,إدارة الاحتلال الصهيونية,,,
1.39e+18,Name calling/Labeling,3,سلطات الاحتلال الإسرائيلية,مفاصل ضم سكسونية,3,100.00%,1.0,1.0,سلطات الاحتلال العبرية,,,
1.39e+18,Name calling/Labeling,4,سلطات الاحتلال الإسرائيلية,سلطات احتلال بني إسرائيل,1,25.00%,1.0,0.0,إدارة الاحتلال الإسرائلية,,,
1.39e+18,Slogans,1,الحوادث ليست بمصير بل إهمال وتقصير,الرزايا ليست خَاتِمَةً بل تذويب تجاوز,4,66.70%,1.0,1.0,الحوادث ليست خَاتِمَةً بل تهاول وتقصير,,,
1.39e+18,Slogans,2,الحوادث ليست بمصير بل إهمال وتقصير,الحوادث ناقصة مَصْنُوعًا بل إهمال إخلاف,3,50.00%,1.0,1.0,النكبات ليست حتمية بل اهمال وتقصير,,,
1.39e+18,Slogans,3,الحوادث ليست بمصير بل إهمال وتقصير,الحَدَثات زائلة حَتْمًا بل تهاون وتقصير,4,66.70%,1.0,1.0,الحَدَثات زائلة حَتْمًا بل تهاون وتقصير,,,
1.39e+18,Slogans,4,الحوادث ليست بمصير بل إهمال وتقصير,النكبات غير حقيقية مَصْنُوعًا بل تهاون وتقصير,4,57.10%,1.0,1.0,النكبات غير مَصْنُوعة بل تهاون وتقصير,,,
1.38e+18,Loaded Language,1,الواقع المروع,الواقع مُفزع,1,50.00%,1.0,1.0,الحال الفظيع,,,
1.38e+18,Loaded Language,2,الواقع المروع,الواقع مروعُ,1,50.00%,1.0,1.0,الملموس المروع,,,
1.38e+18,Loaded Language,3,الواقع المروع,الحقيقة فعلية فَظُّ,2,66.70%,1.0,1.0,الوضع المفزع,,,
1.38e+18,Loaded Language,4,الواقع المروع,الحقيقة ملموسة رهيب,2,66.70%,1.0,1.0,الواقع المرعب,,,
1.38e+18,Appeal to fear/prejudice,1,الواقع المروع,الحال فظيع,2,100.00%,1.0,1.0,الحال الفظيع,,,
1.38e+18,Appeal to fear/prejudice,2,الواقع المروع,الملموس مروع,1,50.00%,1.0,1.0,الملموس المروع,,,
1.38e+18,Appeal to fear/prejudice,3,الواقع المروع,الفعلي مروع,1,50.00%,1.0,1.0,الوضع المفزع,,,
1.38e+18,Appeal to fear/prejudice,4,الواقع المروع,الراهن رعب,2,100.00%,1.0,1.0,الواقع المرعب,,,
1.4e+18,Name calling/Labeling,1,مقامر ومجنون,مُجازِف مُختلّ,2,100.00%,,0.0,مُجازِف مُختلّ,,,
