,start,end,technique,text,id,full_text,start_new,end_new
0,102,130,Appeal to fear/prejudice,لكنه حذر من أن الخطر لم ينته,33916,وأشاد بالاستجابة السريعة من منظمة الصحة العالمية وسلطات مدغشقر التي ساعدت في السيطرة على تفشي المرض لكنه حذر من أن الخطر لم ينته بعد,100.0,128.0
1,62,81,Slogans,أوقفوا أسلمة أمريكا,33919,شاركت باميلا جيلر وروبرت سبنسر في تأسيس جماعة مناهضة للمسلمين أوقفوا أسلمة أمريكا,62.0,81.0
2,0,90,Flag-waving,لا ينبغي أبدا أن تصبح المملكة المتحدة مسرحا للمتحدثين الملتهبين الذين يروجون للكراهية,33923,لا ينبغي أبدا أن تصبح المملكة المتحدة مسرحا للمتحدثين الملتهبين الذين يروجون للكراهية,0.0,85.0
3,20,58,Name calling/Labeling,ما يسمى بأرض الديمقراطية وحرية التعبير,33926,وقال إنه أمر محرج لما يسمى بأرض الديمقراطية وحرية التعبير,19.0,57.0
4,0,14,Slogans,بناء الجدار,33934,بناء الجدار,0.0,11.0
5,45,67,Exaggeration/Minimisation,أكبر هدية سياسية ممكنة,33942,قدم القاضي أنتوني كينيدي للرئيس دونالد ترامب أكبر هدية سياسية ممكنة عندما أعلن استقالته في الربيع,45.0,67.0
6,68,79,Loaded Language,تجزئة كاملة,33943,على الرغم من أنه ليس كل ما حدث خطأ هو خطأ ترامب فقد تمكن من إجراء تجزئة كاملة لترشيح بريت كافانو لملء المقعد الفارغ في المحكمة,66.0,77.0
7,17,43,Doubt,مدى سوء أداء ترامب لوظيفته,33944,إنه مثال جيد على مدى سوء أداء ترامب لوظيفته بعد مرور أكثر من عام ونصف على إدارته,17.0,43.0
8,1,23,Doubt,لم يتعلم ترامب ذلك بعد,33948,ولم يتعلم ترامب ذلك بعد,1.0,23.0
9,176,185,Loaded Language,طرق قبيحة,33952,كان مجموع كل هذا كما هو الحال في العديد من الحلقات الأخرى أن ترامب وبيته الأبيض عصابة لا يمكنها إطلاق النار مباشرة وأنه حريص على إلقاء اللوم على حلفائه والهجوم على أعدائه بطرق قبيحة عندما تسوء الأمور,172.0,181.0
10,71,75,Loaded Language,نفاق,33956,وأضافت حقيقة أن كلا الحزبين يهتمان فقط إذا كان يسجل نقاطا سياسية هو نفاق,68.0,72.0
11,4,9,Loaded Language,انتقد,33957,لقد انتقد الرئيس على مدى شهور سترزوك وبيج بسبب التحيز الذي تم الكشف عنه في رسائلهما النصية وكذلك كومي ومكابي لقيادتهما لمكتب التحقيقات الفيدرالي,4.0,9.0
12,116,142,Name calling/Labeling,إساءة استخدام واضحة للسلطة,33958,لكن الديمقراطيين بمن فيهم عضو اللجنة النائب آدم شيف ديمقراطي من كاليفورنيا ينتقدون أمر رفع السرية باعتباره إساءة استخدام واضحة للسلطة,107.0,133.0
13,52,64,Exaggeration/Minimisation,العدد الهائل,33960,من المتوقع أن تستغرق الرسائل النصية وقتا أطول بسبب العدد الهائل المتضمن وحقيقة أن ترامب أمر بالإفراج عنها دون تنقيح,51.0,63.0
14,0,13,Loaded Language,وكالات تتدافع,33961,وكالات تتدافع لإعداد ملفات التحقيق في روسيا للإفراج عنها بعد اجتياح أمر ترامب,0.0,13.0
